 Total battles: 752357
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 107  | Mewtwo             |  0.48614% | 7315   |  0.486% | 4050   |  0.594% | 
 | 108  | Riolu              |  0.47531% | 7152   |  0.475% | 3091   |  0.454% | 
 | 109  | Alcremie           |  0.46201% | 6952   |  0.462% | 3154   |  0.463% | 
 | 110  | Dragonite          |  0.45397% | 6831   |  0.454% | 2345   |  0.344% | 
 | 111  | Weavile            |  0.45258% | 6810   |  0.453% | 2741   |  0.402% | 
 | 112  | Primarina          |  0.44826% | 6745   |  0.448% | 2959   |  0.434% | 
 | 113  | Araquanid          |  0.43649% | 6568   |  0.436% | 2565   |  0.376% | 
 | 114  | Rhyperior          |  0.42985% | 6468   |  0.430% | 3202   |  0.470% | 
 | 115  | Cresselia          |  0.42819% | 6443   |  0.428% | 2155   |  0.316% | 
 | 116  | Conkeldurr         |  0.42447% | 6387   |  0.424% | 2683   |  0.394% | 
 | 117  | Gengar             |  0.42227% | 6354   |  0.422% | 2255   |  0.331% | 
 | 118  | Butterfree         |  0.41257% | 6208   |  0.413% | 2487   |  0.365% | 
 | 119  | Darmanitan-Galar   |  0.37635% | 5663   |  0.376% | 2372   |  0.348% | 
 | 120  | Politoed           |  0.37083% | 5580   |  0.371% | 1813   |  0.266% | 
 | 121  | Escavalier         |  0.37083% | 5580   |  0.371% | 2344   |  0.344% | 
 | 122  | Cradily            |  0.36505% | 5493   |  0.365% | 2120   |  0.311% | 
 | 123  | Heatran            |  0.36180% | 5444   |  0.362% | 2264   |  0.332% | 
 | 124  | Aegislash          |  0.35914% | 5404   |  0.359% | 1789   |  0.263% | 
 | 125  | Hydreigon          |  0.35708% | 5373   |  0.357% | 1721   |  0.253% | 
 | 126  | Corviknight        |  0.35635% | 5362   |  0.356% | 1863   |  0.273% | 
 | 127  | Chandelure         |  0.35316% | 5314   |  0.353% | 1787   |  0.262% | 
 | 128  | Persian-Alola      |  0.35103% | 5282   |  0.351% | 2279   |  0.334% | 
 | 129  | Raikou             |  0.34857% | 5245   |  0.349% | 2041   |  0.300% | 
 | 130  | Kangaskhan         |  0.34757% | 5230   |  0.348% | 1814   |  0.266% | 
 | 131  | Articuno           |  0.34704% | 5222   |  0.347% | 2194   |  0.322% | 
 | 132  | Cherrim            |  0.34226% | 5150   |  0.342% | 2352   |  0.345% | 
 | 133  | Clefable           |  0.34046% | 5123   |  0.340% | 1744   |  0.256% | 
 | 134  | Pelipper           |  0.33980% | 5113   |  0.340% | 1809   |  0.265% | 
 | 135  | Sylveon            |  0.33535% | 5046   |  0.335% | 2179   |  0.320% | 
 | 136  | Giratina           |  0.33462% | 5035   |  0.335% | 2742   |  0.402% | 
 | 137  | Bisharp            |  0.33322% | 5014   |  0.333% | 1610   |  0.236% | 
 | 138  | Inteleon           |  0.32970% | 4961   |  0.330% | 1984   |  0.291% | 
 | 139  | Blacephalon        |  0.32810% | 4937   |  0.328% | 1960   |  0.288% | 
 | 140  | Togedemaru         |  0.32804% | 4936   |  0.328% | 1970   |  0.289% | 
 | 141  | Kyurem-Black       |  0.32757% | 4929   |  0.328% | 2802   |  0.411% | 
 | 142  | Zoroark            |  0.32205% | 4846   |  0.322% | 1472   |  0.216% | 
 | 143  | Necrozma-Dawn-Wings |  0.32019% | 4818   |  0.320% | 2425   |  0.356% | 
 | 144  | Azumarill          |  0.30963% | 4659   |  0.310% | 2006   |  0.294% | 
 | 145  | Thundurus-Therian  |  0.30650% | 4612   |  0.307% | 1773   |  0.260% | 
 | 146  | Salamence          |  0.30391% | 4573   |  0.304% | 1807   |  0.265% | 
 | 147  | Lucario            |  0.30291% | 4558   |  0.303% | 1821   |  0.267% | 
 | 148  | Shuckle            |  0.29082% | 4376   |  0.291% | 2434   |  0.357% | 
 | 149  | Heliolisk          |  0.27846% | 4190   |  0.278% | 1749   |  0.257% | 
 | 150  | Goodra             |  0.27686% | 4166   |  0.277% | 1624   |  0.238% | 
 | 151  | Pincurchin         |  0.27553% | 4146   |  0.276% | 1401   |  0.206% | 
 | 152  | Dracozolt          |  0.27268% | 4103   |  0.273% | 1752   |  0.257% | 
 | 153  | Scizor             |  0.27201% | 4093   |  0.272% | 1599   |  0.235% | 
 | 154  | Appletun           |  0.27101% | 4078   |  0.271% | 1335   |  0.196% | 
 | 155  | Jellicent          |  0.26105% | 3928   |  0.261% | 1306   |  0.192% | 
 | 156  | Malamar            |  0.25766% | 3877   |  0.258% | 1922   |  0.282% | 
 | 157  | Weezing-Galar      |  0.25294% | 3806   |  0.253% | 1597   |  0.234% | 
 | 158  | Chansey            |  0.25227% | 3796   |  0.252% | 1914   |  0.281% | 
 | 159  | Latias             |  0.24682% | 3714   |  0.247% | 1287   |  0.189% | 
 | 160  | Porygon-Z          |  0.24231% | 3646   |  0.242% | 1197   |  0.176% | 
 | 161  | Mudsdale           |  0.24224% | 3645   |  0.242% | 1518   |  0.223% | 
 | 162  | Nihilego           |  0.22788% | 3429   |  0.228% | 1014   |  0.149% | 
 | 163  | Scrafty            |  0.22609% | 3402   |  0.226% | 1519   |  0.223% | 
 | 164  | Blaziken           |  0.22589% | 3399   |  0.226% | 1350   |  0.198% | 
 | 165  | Obstagoon          |  0.22204% | 3341   |  0.222% | 1088   |  0.160% | 
 | 166  | Sceptile           |  0.21898% | 3295   |  0.219% | 908    |  0.133% | 
 | 167  | Swampert           |  0.21758% | 3274   |  0.218% | 1412   |  0.207% | 
 | 168  | Latios             |  0.21200% | 3190   |  0.212% | 1149   |  0.169% | 
 | 169  | Cobalion           |  0.20994% | 3159   |  0.210% | 1287   |  0.189% | 
 | 170  | Toxapex            |  0.20835% | 3135   |  0.208% | 1264   |  0.186% | 
 | 171  | Lilligant          |  0.20615% | 3102   |  0.206% | 1261   |  0.185% | 
 | 172  | Terrakion          |  0.19778% | 2976   |  0.198% | 1286   |  0.189% | 
